127.0.0.1 - - [04/Jan/2018:14:17:30 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:30 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:31 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:31 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:31 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:31 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:02 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:02 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:02 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:02 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:02 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:05 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 404 38
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:49 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:49 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:49 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:49 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:49 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:50 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:50 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:50 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:50 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:50 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:51 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:51 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:51 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:51 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:51 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:52 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:18:53 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:08 -0700] "GET /ngTodo/ HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:24 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:24 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:24 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:24 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:24 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:25 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:27 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:46 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:46 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:46 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:46 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:46 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:46 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
